"GEOID","tot_can","MINORPCT","LOWINCPCT","LESSHSPCT","LINGISOPCT","UNDER5PCT","OVER64PCT","SUM_ECSI_open","SUM_LUST_open","countAdv","all_cat","PM25_EPA","PM25_NWAQ_MAX","PM25_Mean_NWAQ","min_dec","min_quin","un5_dec","un5_quin","o64_dec","o64_quin","lhs_dec","lhs_quin","inc_dec","inc_quin","lin_dec","lin_quin","lus_av","lus_max","lus_num"
410099709001,20.97054152,0.203846154,0.296153846,0.133522727,0.027088036,0,0.109615385,4,3,NA,"Low",6.280451,6,6,"(0.172,0.212]",6,NA,NA,"(0.0936,0.113]",3,"(0.122,0.157]",8,"(0.283,0.331]",5,"(0.0218,0.0404]",8,NA,NA,NA
410099709002,20.97054152,0.059198543,0.15434986,0.073816156,0.02184466,0.089253188,0.173041894,0,2,NA,"Low",6.280451,6,6,"(0.0503,0.0826]",2,"(0.0812,0.1]",9,"(0.158,0.183]",6,"(0.0616,0.0788]",5,"(0.119,0.177]",2,"(0.07901, 0.0218]",7,NA,NA,NA
410099709003,20.97054152,0.057506887,0.14700735,0.063861386,0,0.06714876,0.253443526,1,2,NA,"Low",6.280451,6,6,"(0.0503,0.0826]",2,"(0.0588,0.0686]",7,"(0.248,0.309]",9,"(0.0616,0.0788]",5,"(0.119,0.177]",2,"(0, 0]",1,NA,NA,NA
410099710001,15.9011783,0.150157729,0.335015773,0.047966632,0.037102473,0.111671924,0.131861199,1,2,NA,"Low",5.912768,6,6,"(0.139,0.172]",5,"(0.1,0.245]",10,"(0.113,0.134]",4,"(0.0447,0.0616]",4,"(0.331,0.38]",6,"(0.0218,0.0404]",8,NA,NA,NA
410099710002,15.9011783,0.020197276,0.215769594,0.113768116,0,0.038985439,0.126820103,1,4,NA,"Low",5.912768,6,5.433717,"(0,0.0503]",1,"(0.0324,0.0419]",4,"(0.113,0.134]",4,"(0.0968,0.122]",7,"(0.177,0.233]",3,"(0, 0]",1,NA,NA,NA
410099710003,15.9011783,0.148392415,0.154987634,0.053053053,0,0.033800495,0.168178071,0,0,NA,"Low",5.912768,6,4.53552,"(0.139,0.172]",5,"(0.0324,0.0419]",4,"(0.158,0.183]",6,"(0.0447,0.0616]",4,"(0.119,0.177]",2,"(0, 0]",1,NA,NA,NA
410099711001,13.2212621,0.143189756,0.401629802,0.228519196,0,0.044237485,0.095459837,1,1,NA,"Low",5.024275,5,4.025483,"(0.139,0.172]",5,"(0.0419,0.0505]",5,"(0.0936,0.113]",3,"(0.213,1]",10,"(0.38,0.432]",7,"(0, 0]",1,NA,NA,NA
410099711002,13.2212621,0.053030303,0.366949153,0.155382908,0,0.026936027,0.240740741,0,1,NA,"Medium",5.024275,5,4.103346,"(0.0503,0.0826]",2,"(0.023,0.0324]",3,"(0.21,0.248]",8,"(0.122,0.157]",8,"(0.331,0.38]",6,"(0, 0]",1,175,175,1
410099711003,13.2212621,0.064665127,0.357473035,0.087292818,0,0.058506543,0.207082371,1,1,NA,"Medium",5.024275,5,4.07428,"(0.0503,0.0826]",2,"(0.0505,0.0588]",6,"(0.183,0.21]",7,"(0.0788,0.0968]",6,"(0.331,0.38]",6,"(0, 0]",1,NA,NA,NA
410110001001,13.85957802,0.069741282,0.359955006,0.07373868,0,0.025871766,0.406074241,1,0,NA,"Medium",5.383106,5,4.787163,"(0.0503,0.0826]",2,"(0.023,0.0324]",3,"(0.309,0.832]",10,"(0.0616,0.0788]",5,"(0.331,0.38]",6,"(0, 0]",1,NA,NA,NA
